Year,Count
1900,7
1901,2
1902,10
1903,12
1904,4
1905,8
1906,11
1907,3
1908,3
1909,17
1910,17
1911,10
1912,6
1913,6
1914,8
1915,7
1916,3
1917,8
1918,8
1919,5
1920,12
1921,2
1922,8
1923,16
1924,9
1925,12
1926,15
1927,10
1928,17
1929,5
1930,22
1931,14
1932,13
1933,11
1934,8
1935,16
1936,20
1937,10
1938,7
1939,12
1940,23
1941,13
1942,12
1943,16
1944,15
1945,17
1946,17
1947,14
1948,25
1949,21
1950,27
1951,31
1952,29
1953,37
1954,33
1955,32
1956,36
1957,28
1958,24
1959,33
1960,39
1961,29
1962,29
1963,44
1964,63
1965,68
1966,83
1967,79
1968,82
1969,78
1970,80
1971,62
1972,63
1973,63
1974,68
1975,60
1976,88
1977,138
1978,132
1979,117
1980,125
1981,134
1982,155
1983,207
1984,153
1985,171
1986,169
1987,222
1988,232
1989,187
1990,292
1991,270
1992,232
1993,265
1994,255
1995,275
1996,270
1997,322
1998,362
1999,413
2000,515
2001,441
2002,497
2003,390
2004,393
2005,482
2006,459
2007,445
2008,392
2009,388
2010,435
2011,356
2012,372
2013,353
2014,343
2015,402
2016,349
2017,371
2018,334
2019,437
2020,406
2021,440
2022,436
2023,453
2024,336
